id,name,co_authors,papers,num_co_authors,num_papers,community
52336,Albert Reuther,"['79541', '107892', '108014', '108468', '114099', '122462', '135151', '196518', '196549', '246360', '256485', '261439', '283369', '360162', '368777', '416652', '535471', '596437', '618076', '757313', '765586', '820234', '853806', '911982', '963103', '964567', '964707', '1115864', '1144204', '1145496', '1163201', '1214572', '1214578', '1322952', '1414297', '1417778', '1555949', '1611298', '1676263', '1691012', '1730464', '1771151', '1771372']","['573697ac6e3b12023e68f49b', '573697ac6e3b12023e68f473', '573697866e3b12023e66c54f', '573697ac6e3b12023e68f492', '555037687cea80f954186123', '5736978b6e3b12023e6714c6', '573696016e3b12023e5152db', '555036d77cea80f95415d6e7', '573697ac6e3b12023e68f48b', '573697ac6e3b12023e68f49f', '573697ac6e3b12023e68f49e', '58d83028d649053542fe4cee', '57a4e91dac44365e35c9848c', '573695d56e3b12023e4ecdbe', '57a4e91dac44365e35c98caa', '58d83028d649053542fe4cf2', '573697ac6e3b12023e68f4ab', '57a4e91aac44365e35c978c7', '57a4e91aac44365e35c97eb7', '573697ac6e3b12023e68f4c4', '5736966e6e3b12023e57b1f9', '57a4e91dac44365e35c986c5', '58d83028d649053542fe4ce1', '573696086e3b12023e51c53b', '5736960b6e3b12023e51e596', '573695ff6e3b12023e5137d8', '573696076e3b12023e51ab72', '58d83028d649053542fe4cd3', '58d83028d649053542fe4d05', '555036d47cea80f95415ba68', '58d83028d649053542fe4cce', '573697ac6e3b12023e68f4a7', '58437725ac44360f1082f7ff']",43,33,6148.0
54187,Albrecht Hoene,"['50091', '140916', '151727', '397932', '549563', '608701', '614018', '781474', '958744', '958745', '970362', '1178793', '1178794', '1305841', '1666994', '1773274']","['5736976e6e3b12023e6553e2', '573696ca6e3b12023e5cb33d', '5736967c6e3b12023e5885e6', '573697f56e3b12023e6cf553', '573696796e3b12023e5857f8', '5736976e6e3b12023e655442', '58437744ac44360f10835aec', '5736987d6e3b12023e73d341', '5736987d6e3b12023e73d52e', '5736965a6e3b12023e566ade', '573695626e3b12023e4891f0', '573695976e3b12023e4b725f', '573695646e3b12023e48a921', '573696e16e3b12023e5e09a2', '5736967c6e3b12023e5883d0', '5736987d6e3b12023e73d401', '573695636e3b12023e489521', '5736976e6e3b12023e65591e']",16,18,17944.0
56411,Aleksandr Biberman,"['120249', '154294', '185175', '555686', '718703', '810637', '814352', '816219', '914759', '947820', '975168', '1002604', '1067775', '1153641', '1241109', '1545079']","['573697c06e3b12023e6a0a2f', '573697e66e3b12023e6c2f52', '573697ba6e3b12023e69bdcf', '573695fa6e3b12023e50efc2', '573697ff6e3b12023e6d85c8', '5736988b6e3b12023e74a2c7']",16,6,6148.0
63039,Alexander G. Melnikov,"['112590', '151256', '216467', '230778', '350320', '433747', '851119', '910067', '1263337', '1395960', '1429859', '1430270', '1495598', '1515258']","['555036da7cea80f95415fa22', '573697336e3b12023e6237f6', '555036d37cea80f95415a58d', '573697336e3b12023e623596', '573697336e3b12023e6236ba', '573696766e3b12023e58237d', '5843773eac44360f10833f2c', '573695f46e3b12023e508c7f', '573695fa6e3b12023e50e704', '573697336e3b12023e62372f', '573696266e3b12023e536c5f', '573695f46e3b12023e508c10']",14,12,7789.0
65252,Alexander Ravsky,"['66560', '477398', '796071', '940488', '1093296', '1111511', '1161635', '1169186', '1253313', '1263204', '1263370', '1322776', '1595666', '1601583', '1660299']","['573696f76e3b12023e5f3591', '573695fe6e3b12023e511617', '58d83051d649053542fea25e', '57a4e91aac44365e35c97fe3', '57a4e91aac44365e35c97d06', '573696076e3b12023e51a442', '57a4e921ac44365e35c98f7c', '58d83051d649053542fea262', '5736962f6e3b12023e53d023', '58437722ac44360f1082f145']",15,10,17944.0
68079,Alexandre G. Lages,"['438162', '500832', '524866', '840363', '980382', '992100', '1003688', '1307299', '1397347', '1444168']","['57d063cfac443673542917f4', '573697f96e3b12023e6d26ed', '5736966e6e3b12023e57ab9c']",10,3,7793.0
69688,Alexei Novikov,"['104320', '537333', '544637', '972745', '974995', '1093823', '1160184', '1272360', '1685487', '1865309']","['5736983a6e3b12023e7066c1', '573695ae6e3b12023e4cccf0', '573696106e3b12023e523842', '58d82fdbd649053542fd9124', '573695c36e3b12023e4dd9f0', '573695ed6e3b12023e501fb8', '573695ae6e3b12023e4ccf37', '573696396e3b12023e5457b4', '573695ae6e3b12023e4ccdf2', '555036d17cea80f954159ae0']",10,10,10998.0
71730,Alfred Luhmer,"['65625', '190619', '250926', '512153', '583028', '586664', '590794', '609331', '704205', '877563', '929601', '1027395', '1096733', '1318363', '1360345', '1435656', '1704385', '1706729', '1712007']","['57a4e918ac44365e35c96d39', '57a4e918ac44365e35c96e92', '57a4e918ac44365e35c96e98', '57a4e918ac44365e35c96d24']",19,4,2159.0
73248,Ali E. Abbas,"['25179', '41011', '97199', '294757', '362170', '372131', '415770', '432191', '450754', '545510', '546160', '619228', '654312', '679564', '703105', '744290', '747783', '806243', '866111', '911610', '954947', '1048904', '1242390', '1249866', '1332463', '1377997', '1406358', '1428839', '1438592', '1453770', '1613022', '1727162', '1827336', '1861495', '1887058']","['5736957f6e3b12023e4a13e5', '573695986e3b12023e4b7eb4', '573695996e3b12023e4b81f8', '573697966e3b12023e67b5aa', '57a4e927ac44365e35c99fd6', '573696a66e3b12023e5ac816', '555037577cea80f954182fa3', '573695996e3b12023e4b8203', '573695996e3b12023e4b81f4', '5736958d6e3b12023e4ad946', '573696816e3b12023e58ce5c', '573695996e3b12023e4b8214', '5736958d6e3b12023e4ada7a', '573695916e3b12023e4b1aec', '5736955d6e3b12023e484fd8', '573696816e3b12023e58cfaa', '58437771ac44360f1083f631', '555037417cea80f95417c85d', '58d83025d649053542fe3bae', '573696816e3b12023e58cd36', '573696806e3b12023e58c4de', '573695996e3b12023e4b8168', '573696816e3b12023e58c6a4', '573696816e3b12023e58d09f', '58437771ac44360f1083f58c', '573695996e3b12023e4b8178', '573696816e3b12023e58c7e6', '573695f06e3b12023e505700', '573696036e3b12023e516d42', '573695996e3b12023e4b819a', '573696816e3b12023e58cc3d', '58437771ac44360f1083f621', '573696086e3b12023e51b453', '573695996e3b12023e4b8181', '573695996e3b12023e4b81a3', '573695996e3b12023e4b823d', '5736958d6e3b12023e4adad9', '573695996e3b12023e4b8182', '573696816e3b12023e58c902', '573695996e3b12023e4b81fc']",35,40,13135.0
78043,Alistair H. Lachlan,"['46122', '79891', '522640', '814717', '841464', '851119', '928125', '972885', '1153573', '1365851', '1402594', '1406385', '1420831', '1459040', '1509696', '1586237', '1791743']","['5843771fac44360f1082e4ba', '555036db7cea80f954160c98', '573695f36e3b12023e5088bb', '58d82fc1d649053542fd4246', '573695f36e3b12023e50831f', '573695f46e3b12023e509048', '573695f46e3b12023e508c48', '573695e46e3b12023e4fa284', '573695f46e3b12023e50904b', '573695f36e3b12023e5088a5', '573695f36e3b12023e508836', '573695f36e3b12023e508568', '5843771fac44360f1082e4a0', '573695f36e3b12023e508429', '573695e46e3b12023e4fa19c', '58d82fc1d649053542fd41a5', '573696756e3b12023e581f3f', '573695f46e3b12023e508d98', '573695f46e3b12023e509011', '573695f46e3b12023e5090bf', '573695f36e3b12023e5082d6', '573695776e3b12023e49aa10', '573696766e3b12023e5822c3', '555036f17cea80f954167d0f', '58d82facd649053542fd0f63', '573695f46e3b12023e508eee', '573695f46e3b12023e508e03', '58d82facd649053542fd0f61', '573695f36e3b12023e508644', '573696756e3b12023e58224b', '573695e46e3b12023e4fa5b3']",17,31,7789.0
80000,Almerindo N. Rehem Neto,"['249691', '249694', '310876', '463904', '670779', '699974', '1003054', '1645963']","['573698886e3b12023e747639', '573697256e3b12023e617910', '573698886e3b12023e74765f', '573697f26e3b12023e6ccf63']",8,4,7793.0
80001,Almerindo Nascimento Rehem Neto,"['249691', '249694', '310876', '1003054']","['573698026e3b12023e6dbb55', '573698026e3b12023e6dbbb5']",4,2,7793.0
80570,Aloysio De Castro Pinto Pedroza,"['81792', '534515', '753417', '838272', '841019', '1013314', '1059271', '1060119', '1065682', '1426360', '1431357', '1811833']","['5736980c6e3b12023e6e390a', '573698826e3b12023e742004', '573697a96e3b12023e68d195', '573697936e3b12023e678567', '573695e36e3b12023e4f97b5', '573698846e3b12023e7436df', '5843770dac44360f1082beac', '573697a96e3b12023e68d1c2']",12,8,7793.0
80782,Alperen Degirmenci,"['79717', '315167', '317537', '434457', '509868', '726522', '835175', '1113682', '1303435', '1418625', '1421448', '1484961']","['573697ef6e3b12023e6cace2', '5550373b7cea80f95417b433', '57d063c7ac44367354290fe0', '555037257cea80f954176296']",12,4,6148.0
87607,Amita Singh,"['711693', '744290', '1283326', '1659205', '1721563']","['5736978e6e3b12023e673df0', '573695936e3b12023e4b2e3a', '573695996e3b12023e4b8197']",5,3,13135.0
87936,Ammar Almomani,"['11197', '81001', '164543', '444618', '1483148', '1511279', '1645863']","['573696036e3b12023e516eb4', '573696876e3b12023e5929ee']",7,2,7102.0
103849,Andrei S. Morozov,"['259484', '392025', '411276', '411542', '433747', '456691', '706273', '760539', '851119', '929361', '1067651', '1263337', '1395960', '1449914', '1497229', '1515258', '1586237', '1706590', '1714553', '1718146', '1721845', '1768595']","['573695f46e3b12023e509049', '573695986e3b12023e4b7c39', '573696766e3b12023e5825ac', '573695f46e3b12023e509186', '573696756e3b12023e582009', '573696756e3b12023e582233', '573697be6e3b12023e69f1f3', '57d063cfac44367354291750', '573695f36e3b12023e508922', '5736969d6e3b12023e5a5a8e', '573696766e3b12023e5824f5', '5736956b6e3b12023e48fcd9', '573695e46e3b12023e4fa231', '573695fa6e3b12023e50e700', '573696756e3b12023e581ea2']",22,15,7789.0
104269,Andrej Sakrajda,"['26493', '62878', '104858', '134373', '187861', '195066', '206993', '252069', '264977', '333822', '367119', '422910', '442306', '544979', '614375', '752763', '758324', '846546', '870984', '891680', '926686', '982431', '1082762', '1093354', '1142722', '1148707', '1176969', '1201304', '1272241', '1304669', '1310331', '1419021', '1479802', '1499193', '1501317', '1505178', '1523511', '1626638', '1682186', '1761781', '1784102']","['573696fc6e3b12023e5f7bc0', '573697886e3b12023e66ea20', '573696ff6e3b12023e5fa203']",41,3,1349.0
104858,Andrew Aaron,"['104269', '187861', '195066', '206993', '333822', '442306', '544979', '614375', '752763', '808372', '891680', '982431', '1030266', '1033291', '1041737', '1093354', '1138902', '1148707', '1176969', '1304669', '1310331', '1377981', '1419021', '1501317', '1505178', '1626638', '1748866', '1784102']","['573697886e3b12023e66e488', '573698186e3b12023e6ec763', '573697886e3b12023e66ea20']",28,3,1349.0
105695,Andrew D. Marshall,"['151178', '229180', '365489', '365904', '386686', '565156', '571008', '604193', '604194', '644999', '708581', '709032', '734551', '766624', '907575', '1138511', '1139279', '1143599', '1145384', '1145776', '1242108', '1296866', '1297483', '1406565', '1591579', '1663693', '1764678']","['573698086e3b12023e6e0006', '5736975b6e3b12023e643ca2', '57d0640bac4436735429a779', '555037a17cea80f9541933d6', '573698086e3b12023e6e0065', '573698086e3b12023e6e0236', '573696a26e3b12023e5a8fef', '573695b06e3b12023e4ceb41', '573698086e3b12023e6e02a2', '5736982c6e3b12023e6fe3f8', '573695b16e3b12023e4ced39', '573698086e3b12023e6e02f7', '573698086e3b12023e6e0025', '5736963b6e3b12023e5482de', '573695b16e3b12023e4ced49']",27,15,4065.0
107892,Andrew McCabe,"['52336', '108468', '135151', '196549', '256485', '261439', '360162', '368691', '368777', '535065', '535471', '540597', '544331', '565593', '765586', '820234', '853806', '911982', '1086425', '1115864', '1133386', '1149719', '1214572', '1246043', '1322952', '1417778', '1651735', '1771151', '1771372']","['573697ac6e3b12023e68f48b', '573697b56e3b12023e6971b4', '573696d76e3b12023e5d75e3', '5736978b6e3b12023e6714c6', '5736987e6e3b12023e73eb2b', '58437725ac44360f1082f741', '58d8303ad649053542fe6fb4', '573695f66e3b12023e50ac1e', '5736984e6e3b12023e71645d']",29,9,6148.0
108014,Andrew Moran,"['52336', '106312', '108468', '135151', '159879', '196549', '243195', '256485', '261439', '360162', '370915', '447502', '765586', '784574', '809331', '809696', '810957', '815228', '853806', '868043', '977005', '1040057', '1115864', '1169526', '1299603', '1322952', '1561011', '1561199', '1622630', '1730464', '1771151']","['573696e16e3b12023e5e098a', '573696df6e3b12023e5de4e5', '5736973d6e3b12023e62c3c1', '573697ac6e3b12023e68f482', '5736969e6e3b12023e5a6a02', '573697ac6e3b12023e68f49b', '573698686e3b12023e72d43a', '573696036e3b12023e517004', '573697ac6e3b12023e68f329', '573698776e3b12023e737f03', '573698236e3b12023e6f5589', '573698246e3b12023e6f6dd8', '573696466e3b12023e553147', '573696086e3b12023e51c53b', '573695e56e3b12023e4fb623', '573697346e3b12023e62421e', '5736987d6e3b12023e73d075']",31,17,6148.0
108468,Andrew Prout,"['52336', '107892', '108014', '122462', '135151', '196549', '256485', '261439', '283369', '360162', '368777', '535471', '765586', '820234', '853806', '911982', '963103', '964567', '964707', '1115864', '1144204', '1145496', '1214572', '1322952', '1417778', '1555949', '1730464', '1771151', '1771372']","['573697ac6e3b12023e68f49b', '573697ac6e3b12023e68f473', '573697ac6e3b12023e68f492', '555037687cea80f954186123', '5736978b6e3b12023e6714c6', '555036d77cea80f95415d6e7', '573697ac6e3b12023e68f48b', '573697ac6e3b12023e68f49f', '573697ac6e3b12023e68f49e', '58d83028d649053542fe4cee', '57a4e91dac44365e35c9848c', '58d83028d649053542fe4cf2', '57a4e91aac44365e35c978c7', '573697ac6e3b12023e68f4ab', '573697ac6e3b12023e68f4c4', '57a4e91dac44365e35c986c5', '573696086e3b12023e51c53b', '5736960b6e3b12023e51e596', '573695ff6e3b12023e5137d8', '573696076e3b12023e51ab72', '58d83028d649053542fe4cd3', '555036d47cea80f95415ba68', '58d83028d649053542fe4cce', '573697ac6e3b12023e68f4a7', '58437725ac44360f1082f7ff']",29,25,6148.0
110826,Andriy V. Miranskyy,"['21949', '70962', '74255', '153721', '162665', '162668', '162758', '162759', '180971', '199976', '205924', '205956', '219763', '221047', '236714', '313113', '319026', '363666', '401070', '438344', '451960', '508930', '933864', '935129', '975623', '1085230', '1086412', '1095867', '1115250', '1122632', '1126336', '1127829', '1128297', '1200973', '1227989', '1258084', '1291570', '1366516', '1475715', '1542952', '1568990', '1594780', '1619292', '1878178', '1900959']","['58d82fcbd649053542fd67c2', '573695736e3b12023e496a7d', '573695736e3b12023e496662', '573696c96e3b12023e5c9869', '573697106e3b12023e6090b5', '5736985a6e3b12023e72016f', '555037237cea80f954175e5e', '573698086e3b12023e6e03f8', '58d82fcbd649053542fd5f31', '555036bc7cea80f95414e916', '5736981a6e3b12023e6ed764', '573698086e3b12023e6e01e8', '573697106e3b12023e6095aa', '573698206e3b12023e6f3038', '5736960c6e3b12023e51ec67', '573698406e3b12023e70a5ad', '573696d56e3b12023e5d57e4', '555037087cea80f95416f665', '573695486e3b12023e475a91', '555037417cea80f95417cbf2', '57d063c7ac44367354290a09', '573696086e3b12023e51c0ef', '573695736e3b12023e496ba1', '573695956e3b12023e4b49c1', '573698206e3b12023e6f2e06', '573695fe6e3b12023e511baf', '5736985a6e3b12023e72082a', '5736960c6e3b12023e51f47b', '573696d56e3b12023e5d5805', '573696c96e3b12023e5c99c5', '58d83045d649053542fe836f', '5843778eac44360f10844a34', '58d8303fd649053542fe7c10', '57a4e91dac44365e35c9847f', '573697106e3b12023e609585']",45,35,4065.0
112590,André Nies,"['56232', '63039', '99152', '105932', '134698', '136087', '171999', '187004', '187589', '201242', '234265', '319429', '319749', '350320', '381481', '411276', '431759', '433747', '510909', '539209', '541174', '542605', '568851', '735643', '834001', '910067', '928125', '965388', '980649', '1006045', '1250370', '1308808', '1395562', '1395960', '1406385', '1429859', '1430270', '1451045', '1451981', '1493671', '1499234', '1506957', '1558081', '1566758', '1586237', '1618450', '1655863', '1726006', '1779896']","['5736967c6e3b12023e588756', '573695f36e3b12023e5086a8', '573696576e3b12023e563d18', '5736976e6e3b12023e6552e2', '573695fd6e3b12023e511034', '573696766e3b12023e58248e', '5736976e6e3b12023e6558f9', '573697996e3b12023e67e75f', '573696266e3b12023e536b18', '573695f46e3b12023e508fc7', '5736976e6e3b12023e6558e8', '555036f17cea80f954167d6e', '573696cb6e3b12023e5cb748', '5736976e6e3b12023e655ce0', '573696766e3b12023e5824b4', '57d063cfac44367354291736', '573696af6e3b12023e5b3215', '555036d37cea80f95415a5a2', '555036d37cea80f95415a5c9', '573696186e3b12023e52a76a', '573695f36e3b12023e5086ce', '573695636e3b12023e4893a1', '573697f56e3b12023e6cf75f', '573696766e3b12023e5822be', '573696796e3b12023e58541c', '573695f46e3b12023e508dde', '5736976e6e3b12023e655abc', '573696766e3b12023e5824d9', '573695e46e3b12023e4fa20d', '573695f46e3b12023e508a5b', '573696566e3b12023e5631ae', '573697336e3b12023e62378d', '573697336e3b12023e6237f6', '573696266e3b12023e536ce0', '573696756e3b12023e5820b0', '573696266e3b12023e536be5', '573697336e3b12023e6235e3', '555036d37cea80f95415ae05', '573695f36e3b12023e50838e', '5843770dac44360f1082c179', '573697336e3b12023e6236f8', '573696af6e3b12023e5b3223', '5736969b6e3b12023e5a33d5', '5736976e6e3b12023e6553a1', '573696566e3b12023e5631b9', '573695786e3b12023e49acee', '5736973d6e3b12023e62c321', '5736957d6e3b12023e49f2b4', '5736978c6e3b12023e672062', '555036f17cea80f954167db3', '573695f46e3b12023e508d5d', '573697336e3b12023e6235a4', '5736967c6e3b12023e5888fe', '573695e46e3b12023e4fa41d', '573696766e3b12023e5822f8', '573696796e3b12023e585b83', '5736969e6e3b12023e5a6a1d', '573696576e3b12023e563cde', '573696af6e3b12023e5b3206', '5736976e6e3b12023e655c0e', '573696756e3b12023e582056', '573697526e3b12023e63c8c9', '573696756e3b12023e5820b7', '58d83014d649053542fe1ee9', '5736976e6e3b12023e6555e9', '5736979b6e3b12023e681262', '573696766e3b12023e582470', '573695f46e3b12023e508d18', '573696576e3b12023e563c69', '5736969e6e3b12023e5a683f', '573696266e3b12023e536ce1', '5736976e6e3b12023e655865', '57d063cfac44367354291737', '573696396e3b12023e545c2e', '573696af6e3b12023e5b325d', '573696576e3b12023e564055', '5736969d6e3b12023e5a5e70']",49,77,7789.0
114099,Andy Prout,"['52336', '196518', '196549', '256485', '261439', '360162', '765586', '853806', '964707', '1115864', '1163201', '1322952', '1555949', '1691012', '1730464']","['58d83028d649053542fe4d05', '57a4e91dac44365e35c98caa']",15,2,6148.0
117914,Anil Kumar Sarje,"['43660', '152892', '942448', '1051212', '1226789', '1344212', '1377748', '1381442', '1381594', '1384284', '1388402', '1487287', '1502147', '1551407', '1704940']","['5736973f6e3b12023e62e0d2', '573696de6e3b12023e5dd893', '5736965a6e3b12023e5669be', '573695e36e3b12023e4f9d77', '573697536e3b12023e63d070', '5736981d6e3b12023e6f0be4', '573696a96e3b12023e5ae71f', '573696db6e3b12023e5db07e', '5736969c6e3b12023e5a542e', '5736973f6e3b12023e62e0b0', '573697536e3b12023e63d13f', '573698556e3b12023e71c3f0', '573698416e3b12023e70afcd', '5736966e6e3b12023e57ad81', '573696836e3b12023e58ebd5', '573696a26e3b12023e5a95fe', '573697536e3b12023e63d0e4', '573698866e3b12023e744b69', '573697c06e3b12023e6a1a82', '573698506e3b12023e71804c', '573697716e3b12023e65923d', '5736984f6e3b12023e717bf1', '573695a76e3b12023e4c5331', '573696a96e3b12023e5ae5e7', '5736966e6e3b12023e57ad9d', '573698876e3b12023e7458f2', '5736965a6e3b12023e566931', '5736973f6e3b12023e62e098']",15,28,7102.0
119740,Anjali Sardana,"['43318', '43847', '537228', '747976', '937303', '1051212', '1179225', '1285832', '1344601', '1347738', '1373051', '1384751', '1384763', '1487062', '1555889', '1607630', '1614742', '1632631', '1812928']","['5736977a6e3b12023e661815', '573695c36e3b12023e4ddb0d', '573698136e3b12023e6e7b37', '573697706e3b12023e6585c1', '573697c96e3b12023e6a8aa1', '573695e76e3b12023e4fd68b', '573695906e3b12023e4b01c3', '5736982d6e3b12023e6fefaf', '573697536e3b12023e63d139', '573698136e3b12023e6e7b21', '5736985f6e3b12023e72589a', '5736976c6e3b12023e653dca', '573698316e3b12023e701eb9', '573697a36e3b12023e687d5e', '5736965a6e3b12023e566994', '5736965a6e3b12023e56698d', '573697a36e3b12023e687d6b', '5736970f6e3b12023e6078f7', '5736977a6e3b12023e66181c', '573697ce6e3b12023e6ae42f', '573697cf6e3b12023e6aebf6', '573697cf6e3b12023e6aec0b', '573697a46e3b12023e68967a', '573697c96e3b12023e6a8a7e', '573697346e3b12023e624b9b', '5736985f6e3b12023e72573b', '5736985f6e3b12023e7257ca', '573698016e3b12023e6da106', '573698316e3b12023e701eb1']",19,29,7102.0
122462,Anna Klein,"['52336', '108468', '135151', '196549', '256485', '261439', '360162', '372918', '456136', '757368', '765586', '816219', '851685', '853806', '914759', '963103', '964707', '1002604', '1115864', '1144204', '1145496', '1147088', '1157675', '1214572', '1322952', '1420620', '1492567', '1504698', '1555949', '1730464', '1771151']","['573697666e3b12023e64d7ac', '58d83028d649053542fe4cce', '58437725ac44360f1082f7ff', '573697ac6e3b12023e68f48e']",31,4,6148.0
130009,Anthony P. Ciavarelli,"['121876', '367353', '760185', '890415', '1495223', '1735492']","['573696736e3b12023e57f83c', '573696736e3b12023e57f9a4']",6,2,13135.0
132459,Antoni Lozano,"['51650', '189984', '241359', '291093', '498122', '530626', '718934', '804113', '838821', '958744', '1065908', '1095517', '1136219', '1154280', '1178794', '1233126', '1263224', '1405773', '1406752', '1438477', '1666994', '1711151', '1730708', '1731579', '1826628']","['573696466e3b12023e553165', '573696626e3b12023e56e90a', '573697a26e3b12023e6871cc', '573698616e3b12023e727790', '573695fa6e3b12023e50e7b0', '5736967c6e3b12023e5884c0', '573695626e3b12023e489018', '5736974a6e3b12023e635e44', '5736954b6e3b12023e477abb', '573696196e3b12023e52ba45', '5736969b6e3b12023e5a3d14', '573697f56e3b12023e6cf62c', '573695ce6e3b12023e4e7718', '5736961a6e3b12023e52beb8', '573696a16e3b12023e5a8987', '573695c66e3b12023e4e0438', '573696936e3b12023e59cc05', '5736976e6e3b12023e65529b', '573697276e3b12023e619702', '573697e46e3b12023e6c1db2', '5736960a6e3b12023e51d3c0', '573698616e3b12023e7276dc', '5736982d6e3b12023e6fe808', '5736972f6e3b12023e61fe1a', '573696f76e3b12023e5f343c', '573696ca6e3b12023e5cb0e1', '573697f56e3b12023e6cf863']",25,27,17944.0
134698,Antonio Montalbán,"['53433', '105932', '112590', '151256', '171999', '175196', '259484', '433747', '542605', '568851', '692897', '834001', '851119', '1173219', '1250292', '1250370', '1406385', '1451981', '1586237', '1618450', '1709141', '1718146']","['573695f36e3b12023e5083c6', '573695e46e3b12023e4fa34f', '5736976e6e3b12023e655c0e', '573695f46e3b12023e508e50', '573695986e3b12023e4b7cb7', '573696756e3b12023e5820d8', '573695f46e3b12023e508ba4', '573696756e3b12023e58200c', '573695776e3b12023e49ab1e', '573696576e3b12023e563de0', '573695986e3b12023e4b7c40', '573697336e3b12023e62378d', '573696266e3b12023e536b22', '58d83014d649053542fe1ef5', '555036d37cea80f95415a593', '555036d37cea80f95415a5da', '573696af6e3b12023e5b3198', '5843771fac44360f1082e99c', '573695f36e3b12023e50865a', '573695f36e3b12023e50859d', '573695986e3b12023e4b7cd8', '573696af6e3b12023e5b3192', '555036d37cea80f95415a5e6', '573697336e3b12023e623620', '573695f46e3b12023e508c19', '573696266e3b12023e536c10', '573695786e3b12023e49abe4', '573695f36e3b12023e508355', '573695f46e3b12023e508f84', '5736969e6e3b12023e5a650c', '573695f46e3b12023e508942', '5843771fac44360f1082e9a2']",22,32,7789.0
